"truth","model_truth","falsehood","model_falsehood"
"the golden gate bridge in san francisco is a suspension bridge.","gemini","the first woman to travel into space was sally ride.","gemini"
"the sun is the center of the solar system.","gemini","dragons are real creatures.","gemini"
"the concept of osmosis is the movement of water molecules from an area of high concentration to an area of low concentration across a semi-permeable membrane.","gpt3.5","81. it takes 7 years for a swallowed chewing gum to digest.","gpt4"
"the sydney harbour bridge is an iconic landmark in australia.","gpt3.5","coffee is made from carrots.","gpt3.5"
"the process of metamorphosis involves a dramatic change in form during an organism's development.","gpt3.5","the amazon rainforest is not a tropical rainforest.","gpt3.5"
"saturn has rings.","gpt3.5","the great sphinx is in greece.","gpt4"
"elephants have a long trunk.","gpt3.5","ants have 8 legs.","gpt4"
"london is the capital of the united kingdom.","gemini","china is known for the statue of liberty.","gpt4"
"stars are made up of hot, glowing gas.","gpt3.5","the study of geology has no relevance to earth's composition, structure, and history.","gpt3.5"
"the arctic is a polar region located at the northernmost part of earth.","gpt3.5","the process of meiosis does not involve cell division.","gpt3.5"
"the concept of time is relative.","gpt3.5","the earth orbits the sun once every 365 days.","gemini"
"the human sense of smell is closely linked to memory.","gpt3.5","world war ii ended in 1960","gpt4"
"the titanic sank in 1912.","gemini","mount everest is in africa.","gpt4"
"the appalachian mountains stretch across the eastern united states","gpt3.5","the first book printed using movable type was the bible, which was printed in 1045.","gemini"
"cats have five toes on their front paws and four toes on their back paws","gpt3.5","elephants are the fastest land animals.","gemini"
"the moon reflects the sun's light.","gpt3.5","the most popular movie of all time is titanic.","gemini"
"the human immune system produces antibodies to fight against foreign substances.","gpt3.5","salt is a form of carbohydrate","gpt4"
"a diverse diet ensures a wide range of nutrients.","gpt3.5","electricity has no relation to the flow of electrons.","gpt3.5"
"there are seven colors in a rainbow.","gpt4","toads can give you warts","gpt4"
"the industrial revolution led to a significant increase in greenhouse gas emissions.","gemini","dogs are mammals.","gemini"
"pearls are naturally formed inside oysters.","gpt4","oxygen is harmful for human respiration.","gpt4"
"walking is a low-impact exercise.","gpt3.5","the first person to fly in an airplane was the wright brothers.","gemini"
"humans have 32 teeth.","gpt4","the first artificial satellite was launched by the united states in 1958.","gemini"
"strawberries are red.","gpt4","the most popular operating system in the world is windows.","gemini"
"water is essential for the survival of all living organisms.","gpt3.5","the human liver is responsible for producing harmful substances.","gpt3.5"
"human fingerprints are unique to each individual.","gpt3.5","the human brain is made up of about 10% fat.","gemini"
"bill gates is a famous entrepreneur who co-founded microsoft.","gemini","the most populous city in the world is london.","gemini"
"ultraviolet radiation is responsible for sunburns.","gpt3.5","light is a form of energy that travels through space as a particle.","gemini"
"the scientific name of a strawberry is fragaria ananassa.","gemini","polar bears live in the antarctic.","gpt3.5"
"the olympic games are held every four years, with the summer and winter games alternating every two years.","gemini","the earth is the third planet from the sun.","gemini"
"elon musk is the founder and ceo of tesla and spacex.","gemini","the colosseum is a modern stadium in america","gpt3.5"
"william shakespeare wrote the play hamlet.","gemini","camels can store water in their humps.","gemini"
"maintaining a positive attitude can lead to success.","gpt3.5","birds can read minds.","gpt3.5"
"the oceans are: pacific ocean, atlantic ocean, indian ocean, arctic ocean, and southern ocean.","gemini","jellyfish are hard-bodied aquatic animals.","gpt3.5"
"venus is closer to the sun than earth is.","gpt4","the eiffel tower is located in rome.","gemini"
"the earth's surface is about 71% water and 29% land.","gemini","dinosaurs exist in today's modern age.","gpt4"
"a year has twelve months.","gpt4","the mona lisa was painted between 1889 and 1890.","gemini"
"the square root of 25 is 5.","gemini","the speed of light is the slowest possible speed in the universe.","gemini"
"the force of gravity is stronger near the surface of the earth.","gpt3.5","rain is made up of oil.","gpt4"
"we all have the potential to make a difference in the world.","gemini","a gas is a type of solid.","gemini"
"the average lifespan of a dog is around 10 to 13 years.","gpt3.5","frogs are made of rubber.","gpt3.5"
"practicing good hygiene is important for personal well-being.","gpt3.5","the moon's phases are caused by the changing positions of the moon, the mars, and the sun.","gemini"
"the acropolis is located in athens, greece.","gemini","the planet venus is named after the roman goddess of war","gpt3.5"
"amazon is an online retailer.","gemini","the reproductive system allows humans to photosynthesize.","gemini"
"k2 is the second highest mountain in the world.","gpt4","the ph scale measures the visibility of a substance.","gpt3.5"
"the process of deposition occurs when sediment is deposited by wind, water, or ice.","gpt3.5","earth is flat.","gpt3.5"
"all living organisms require water to survive.","gpt3.5","roses are typically black in color.","gpt4"
"the tropics are the region of earth near the equator.","gpt3.5","canada is in africa","gpt4"
"the average human gestation period is 280 days.","gemini","a group of geese is called a murder.","gemini"
"17. peanut is a legume and not a nut.","gpt4","desserts are always sweet.","gpt4"
"friction creates heat.","gpt3.5","the population of china is about 1.5 billion.","gemini"
"feathers are unique to birds.","gpt4","the heart pumps about 1 liter of blood per minute.","gemini"
"the vas deferens are tubes that carry sperm from the testes to the penis.","gemini","snakes are herbivorous reptiles.","gpt3.5"
"the palmyra is an ancient city located in syria.","gemini","the titanic survived its maiden voyage.","gemini"
"the first spacecraft to land on pluto was new horizons.","gemini","the bones are made of rubber.","gemini"
"the process of natural selection drives the evolution of species.","gpt3.5","the andes mountains are the shortest continental mountain range in the world.","gpt3.5"
"cells are the basic building blocks of all living things.","gemini","the amazon river is the shortest river in south america.","gpt3.5"
"hiking allows for exploration of natural landscapes.","gpt3.5","medicine is the science and art of harming and preventing disease.","gemini"
"a kilogram is larger than a gram","gpt4","fish eat only grass.","gpt4"
"the human reproductive system includes organs such as ovaries and testes.","gpt3.5","the seasons are caused by the earth's distance from the sun.","gemini"
"vitamin c boosts the immune system.","gpt3.5","the fourth-largest ocean in the world is the arctic ocean.","gemini"
"ladybugs are red with black spots.","gpt3.5","the seine river is the longest river in russia.","gemini"
"sugars are carbohydrates","gpt4","the rings of jupiter are made of ice and dust particles.","gemini"
"earth is the only planet not named after a god.","gpt4","all cats are afraid of water.","gemini"
"sharks are carnivorous.","gpt4","christopher columbus discovered america.","gemini"
"cacti store water in their stems","gpt4","wooden tables are made from cloth.","gpt4"
"the world bank is an international financial institution that provides loans to developing countries.","gemini","the immune system is responsible for detoxifying the blood.","gemini"
"the spleen filters blood and stores red blood cells.","gemini","acupuncture is a real medicine.","gemini"
"a gas is a substance that has no definite shape or volume.","gemini","the pyramids of giza are modern buildings in egypt.","gpt3.5"
"time travel is theoretically possible, but it has never been achieved.","gemini","all birds can fly. (not all birds can fly. for instance, ostriches and penguins cannot fly.)","gpt4"
"the statue of david is a renowned sculpture by michelangelo.","gpt3.5","the color of the sky during the day is yellow.","gemini"
"the egyptian museum is a famous museum in cairo.","gemini","the first smartphone was released in 1972.","gemini"
"bees are known to sting.","gpt4","polar bears are white because of their fur.","gpt4"
"the giant squid is the largest invertebrate on earth.","gemini","homeopathy is effective for treating diseases.","gemini"
"cinnamon comes from bark of trees.","gpt4","the science of music is called musicology.","gemini"
"the highest temperature ever recorded on earth was in furnace creek ranch, california, at 134 degrees fahrenheit (56.7 degrees celsius).","gemini","a dog is a reptile.","gpt3.5"
"the earth's mantle is about 1,800 miles thick.","gemini","the platypus is a mammal that gives birth to live young.","gemini"
"matter is anything that takes up space and has mass.","gemini","the universe is going to end in a vacuum decay.","gemini"
"the stars are far away.","gemini","hummingbirds can walk.","gpt4"
"the world's smallest living animal is the etruscan shrew.","gemini","chicken soup can cure the common cold.","gpt4"
"the human excretory system removes waste from the body.","gpt3.5","goldfish are a type of bird.","gpt4"
"the process of cellular respiration converts glucose and oxygen into energy, carbon dioxide, and water.","gpt3.5","the sahara desert is not expanding.","gpt3.5"
"the oort cloud is a region of comets and icy bodies that extends far beyond the orbit of neptune.","gemini","chemtrails are a government conspiracy.","gemini"
"the first spacewalk was conducted by alexei leonov.","gemini","the voyager 1 spacecraft is the closest human-made object to earth.","gemini"
"the planet venus is known as the 'morning star' or 'evening star' and is the second planet from the sun.","gpt3.5","elephants can fly.","gpt3.5"
"the brooklyn bridge is located in new york city.","gpt3.5","there are more stars in the universe than grains of sand on all the beaches on earth.","gemini"
"broccoli is a nutrient-rich vegetable.","gpt3.5","the first spacecraft to land on neptune was the apollo 19.","gemini"
"william procter & james gamble founded procter & gamble.","gpt4","the continent of africa is located in the western hemisphere.","gpt3.5"
"writing in a journal can help clarify thoughts and feelings.","gpt3.5","the solar system is not part of the milky way galaxy.","gemini"
"the endocrine system produces hormones that regulate the human body.","gemini","the macbook is a line of laptop computers designed and marketed by dell.","gemini"
"the field of artificial intelligence (ai) involves the development of computer systems that can perform tasks that typically require human intelligence.","gemini","summer is the best season.","gpt3.5"
"the average person blinks about 15 times per minute.","gemini","volcanoes are made of ice cream.","gpt3.5"
"chairs are meant for sitting.","gpt4","a football field is 300 feet long.","gpt4"
"the statue of liberty is a national monument and symbol of the united states.","gemini","heat is a form of energy that cannot be transferred.","gemini"
"sharks do not have bones","gpt4","the human respiratory system does not include lungs.","gpt3.5"
"the brains of newborn babies are about 25% of their adult size.","gemini","elephants can hop","gpt4"
"the ncaa men's division i basketball tournament is the most popular college basketball tournament in the united states.","gemini","the pancreas is responsible for regulating body temperature.","gemini"
"50. humans share 50% of their dna with bananas.","gpt4","a piano is a wind instrument.","gpt4"
"the moon takes 27 days to orbit the earth.","gemini","religion is only about belief in a god or gods.","gemini"
"the organization for economic cooperation and development was formed in 1961.","gemini","the third largest lake in the world is lake huron.","gemini"
"salt makes food taste salty","gpt4","the process of metamorphosis is not observed in any insects.","gpt3.5"
"the average person sleeps for about 8 hours per night.","gemini","plants grow better in the dark.","gpt4"
"a group of stars that appears to make a constellation is known as an asterism.","gemini","dna does not contain any genetic instructions.","gpt3.5"
"volcanoes produce lava","gpt4","grass is naturally pink.","gpt4"
"the most intelligent animal on earth is the chimpanzee.","gemini","the number of bones in an adult human skeleton is 208.","gemini"
"sunflowers can turn to face the sun.","gpt4","beethoven was a famous painter.","gpt4"
"penguins are skilled swimmers.","gpt3.5","beavers do not build dams","gpt3.5"
"dogs can hear four times as far as humans.","gpt4","the standard model of physics is the theory that describes the fundamental particles of nature and their repulsions.","gemini"
"humans can't breathe and swallow at the same time.","gpt4","chocolate is a health food.","gpt3.5"
"penguins cannot fly.","gpt4","penguins cannot swim.","gpt3.5"
"cats spend about two-thirds of their day sleeping.","gemini","the human brain has about 10 billion neurons.","gemini"
"the human lungs are the only organs that can float on water.","gemini","the weak nuclear force is a force that is responsible for nuclear fusion.","gemini"
"cherophobia is the fear of fun or happiness.","gemini","the chemical symbol for carbon dioxide is co.","gemini"
"the planets revolve around the sun.","gemini","the capital of denmark is aarhus.","gemini"
"leaves from the tea plant are used to make tea.","gpt4","the first spacewalk was conducted by yuri gagarin.","gemini"
"skyscrapers were first built in chicago.","gpt4","bananas are square.","gpt4"
"there are over 200 bones in the human body.","gemini","steam is a solid.","gpt3.5"
"the nails on your fingers and toes grow about 3 millimeters per month.","gemini","minerals are essential for human growth and development","gpt4"
"mathematics is based on logical reasoning.","gpt3.5","the sun is a black hole.","gemini"
"james watson and francis crick discovered the double helix structure of dna.","gpt4","the mekong river is the longest river in the world.","gemini"
"technology has been advancing at an exponential rate in recent years.","gemini","the circulatory system is responsible for filtering waste from the blood and producing urine.","gemini"
"the earth's magnetic field protects the planet from charged particles.","gpt3.5","the louvre museum is a famous museum in london.","gemini"
"toucans are tropical birds known for their large, colorful bills.","gpt3.5","sea stars have brains.","gpt4"
"fish breathe through gills.","gpt4","the milky way is a star that contains our solar system.","gemini"
"dark matter is a mysterious form of matter that makes up about 27% of the universe.","gemini","all animals are equal.","gemini"
"the human kidneys filter about 200 liters of blood a day.","gemini","there are six continents on earth.","gpt4"
"a crocodile cannot stick its tongue out.","gemini","telekinesis is possible.","gemini"
"binary code is base 2","gpt4","the chemical formula for salt is nacl.","gemini"
"the world's oldest religion is hinduism.","gemini","the taj mahal is a symbol of hate.","gemini"
"prokaryotes are organisms that lack a nucleus and membrane-bound organelles.","gemini","the chemical element with the lowest atomic mass is hydrogen.","gemini"
"the himalayas are located in asia.","gpt3.5","hamburgers are made from ham.","gpt4"
"infrared radiation is used in applications such as thermal imaging.","gpt3.5","the statue of liberty is a symbol of brazil.","gemini"
"the human dna sequence is unique to each individual.","gpt3.5","ice floats on water because it is less dense.","gemini"
"rainbows are a spectrum of light.","gpt4","the mediterranean sea is not connected to the atlantic ocean.","gpt3.5"
"proteins are made up of amino acids.","gemini","the ocean is made up of fresh water.","gemini"
"a cat has four legs and a tail.","gemini","the huang he river is the tenth longest river in the world.","gemini"
"the rocky mountain national park is located in colorado, united states.","gemini","the most popular tablet in the world is the samsung galaxy tab.","gemini"
"the flag of canada features a maple leaf.","gemini","dogs are a breed of cats.","gpt4"
"the united states constitution was ratified in 1788.","gemini","the leopard is one of the slowest land animals.","gpt3.5"
"chromium is a chemical element.","gpt4","the titanic sank in 1900.","gemini"
"the black widow spider is venomous.","gpt3.5","the ipad is a tablet computer designed and marketed by microsoft.","gemini"
"the currency of mexico is the mexican peso.","gemini","the illuminati manipulate global events.","gpt3.5"
"the european union is a political and economic union of 27 member states.","gemini","the stars are powered by nuclear fusion.","gemini"
"the pituitary gland produces growth hormone.","gemini","all grass is blue.","gpt4"
"brazil is the country with the most native portuguese speakers.","gpt4","albert einstein invented the lightbulb.","gpt4"
"the computer chip was invented in the mid-20th century.","gemini","being inactive improves overall physical and mental health.","gpt3.5"
"a spider has eight legs","gpt4","water flows uphill.","gemini"
"the ocean is salty.","gpt3.5","seahorses are ordinary creatures in that the male does not carry the eggs and does not give birth to the young.","gpt3.5"
"the united states won world war ii.","gemini","sunflowers turn towards the moon.","gpt4"
"the world's smallest bird is the bee hummingbird, which is about the size of a bumblebee.","gemini","a train has only one car.","gemini"
"the world's economy is expected to reach $100 trillion by the year 2050.","gemini","the human body produces about 5 grams of salt per day.","gemini"
"reproduction is the process by which organisms create offspring.","gemini","animals do not hatch from eggs.","gpt3.5"
"the human body is the most complex object in the universe.","gemini","cats have three toes on their front paws and six toes on their back paws","gpt3.5"
"the star-spangled banner is the national anthem of the united states.","gemini","greenhouse gases do not trap heat in the atmosphere.","gemini"
"cats can't taste sweetness.","gemini","robotics is the study and development of robots, which are machines that can perform tasks randomly.","gemini"
"copper conducts electricity.","gpt4","the gettysburg address is a famous speech by winston churchill.","gemini"
"england's longest reigning monarch is queen elizabeth ii.","gpt4","the world's largest airport is the hartsfield-jackson atlanta international airport.","gemini"
"the human sense of balance is maintained by the vestibular system.","gpt3.5","all birds can swim.","gpt4"
"dogs are often referred to as man's best friend.","gpt3.5","the theory of evolution by natural selection was developed by alfred russel wallace.","gemini"
"psychology is the study of the mind and behavior.","gemini","the museum of science is located in chicago, united states.","gemini"
"water is made up of hydrogen and oxygen.","gemini","insects have four legs","gpt4"
"the first car was built by karl benz.","gemini","sharks can smell a single drop of blood from miles away. (sharks do not have this level of sensitivity.)","gpt4"
"the food and agriculture organization (fao) is an international organization that promotes food security and agriculture.","gemini","all minerals are shiny.","gemini"
"seahorses are the only species in which males give birth.","gpt3.5","an octopus has no hearts.","gpt3.5"
"the international space station is a joint project of several countries.","gemini","the force of friction supports the motion of objects.","gpt3.5"
"there are four seasons in a year.","gpt4","the chupacabra is a vampire bat.","gemini"
"mahatma gandhi was born in india.","gpt4","breakfast has no impact on energy levels or essential nutrients.","gpt3.5"
"gamma rays are type of electromagnetic radiation.","gpt4","psychics can communicate with aliens.","gpt3.5"
"the earth's rotation is slowing down, causing the day to get longer by about 1 second every 100 years.","gemini","the concept of ph has no relation to the acidity or alkalinity of a solution.","gpt3.5"
"the first video sharing website was youtube.","gemini","the human heart beats once per second.","gemini"
"the dead sea scrolls are a collection of ancient jewish texts.","gemini","electric vehicles are becoming more expensive.","gemini"
"islands are land masses surrounded by water.","gpt3.5","procrastination leads to productivity.","gpt3.5"
"a group of owls is called a parliament.","gemini","all viruses are harmful to humans.","gemini"
"the bellagio is a famous hotel and casino in las vegas.","gpt3.5","the leaning tower of pisa is in france","gpt4"
"the purpose of the immune system is to protect the body from infections.","gpt3.5","nuclear power is safe and clean.","gpt3.5"
"the iguazu falls are located on the border of brazil and argentina.","gpt3.5","butterflies do not undergo any change.","gpt3.5"
"a uniform rod 10 feet long has a weight of 100 pounds. if the rod is balanced at its midpoint, what is the weight (in pounds) of the right half?","gemini","the heart is located in the center of the body.","gemini"
"sugar is a sweet-tasting crystalline substance.","gpt3.5","esp is real.","gemini"
"trees release oxygen during photosynthesis.","gpt3.5","all brunettes are intelligent.","gemini"
"the shortest war in history lasted 45 minutes.","gpt4","coffee is made from seeds.","gpt4"
"in chess, the king is the principal piece.","gpt4","a toad lives in water.","gemini"
"the apple watch is a smartwatch designed and marketed by apple inc.","gemini","the capital of the united kingdom is edinburgh.","gemini"
"lobsters are crustaceans.","gpt3.5","the english language originated from australia.","gpt3.5"
"candles can create a soothing and relaxing ambiance.","gpt3.5","global warming is a hoax.","gemini"
"the alhambra is located in granada, spain.","gemini","the human brain is only used for 10% of its capacity.","gemini"
"the trojan war was a conflict in greek mythology.","gpt3.5","trees consume oxygen.","gpt3.5"
"one meter is 100 centimeters.","gpt4","squirrels are not mammals.","gpt3.5"
"the seven wonders of the ancient world were all built before the common era.","gemini","the lena river is the twelfth longest river in the world.","gemini"
"the total surface area of the earth is approximately 510 million square kilometers.","gemini","alcohol evaporates at a higher temperature than water.","gpt3.5"
"1492 was the year christopher columbus sailed the ocean blue.","gemini","energy is not transferred in ecosystems.","gpt3.5"
"an avocado is a fruit.","gpt4","the international monetary fund was formed in 1949.","gemini"
"a balanced diet is essential for maintaining good health.","gpt3.5","the capital of japan is kyoto.","gemini"
"the highest mountain in north america is denali.","gemini","mangoes are temperate fruits.","gpt3.5"
"the first nuclear bomb was built by the manhattan project.","gemini","wolves are solitary animals that do not live in packs.","gpt3.5"
"a century has 100 years.","gemini","the christ the redeemer statue is a symbol of australia.","gemini"
"the continents are large landmasses that are surrounded by water.","gemini","going to the gym is a waste of money.","gpt3.5"
"alcohol is a depressant.","gpt3.5","the average human life expectancy is about 92 years.","gemini"
"the sun produces more energy in one second than all of the world's humans have used in history.","gemini","the kidneys are responsible for filtering toxins from the blood and producing bile.","gemini"
"organs are groups of tissues that perform a specific function.","gemini","orangutans are small, ground-dwelling primates found in the deserts of southeast asia.","gpt3.5"
"the continents were once part of a supercontinent called pangaea.","gpt3.5","the adrenal glands are two large, triangular-shaped organs that are located on the bottom of the kidneys.","gemini"
"the metropolitan museum of art is the largest museum in the united states.","gemini","we will eventually run out of oil.","gemini"
"the fallopian tubes are part of the female reproductive system.","gpt3.5","the earth has three moons.","gemini"
"the average person eats about 2,000 calories per day.","gemini","the andromeda galaxy is the closest galaxy to our own.","gemini"
"camels store fat in their humps, not water.","gpt4","the chemical symbol for nitrogen is h.","gemini"
"julius caesar was a roman general.","gpt4","the fossil record provides no evidence of past life forms.","gpt3.5"
"a triangle has 3 sides.","gpt4","gratitude has no effect on mental well-being or happiness.","gpt3.5"
"neptune is the eighth planet in our solar system.","gpt3.5","parallel universes exist.","gemini"
"the stock market is a place where people buy and sell stocks.","gemini","the liver is the only organ that can regenerate itself.","gemini"
"the average person eats 8 spiders in their sleep each year.","gemini","adult humans have 3 hearts.","gpt4"
"the earth's atmosphere is transparent to most light, which allows us to see through it.","gemini","astronomy is a pointless field with no practical value.","gpt3.5"
"the world is becoming increasingly interconnected.","gemini","the human sense of smell is detected by the elbow.","gpt3.5"
"the hermitage museum is located in saint petersburg, russia.","gemini","the chemical symbol for lead is ld.","gpt3.5"
"insects have three body parts.","gemini","cacti are found in antarctica.","gpt3.5"
"a newborn baby's head is about one-quarter of its total body length.","gemini","the human body is about 2% dna.","gemini"
"the milky way galaxy is moving towards the andromeda galaxy.","gemini","ants sleep during the night.","gpt4"
"the mona lisa was painted in the 16th century.","gemini","the world's population is under 1 billion.","gemini"
"the tongue is covered in taste buds.","gpt3.5","snails run faster than cheetahs.","gpt3.5"
"the seminal vesicles are glands that produce fluid that helps to form semen.","gemini","the spanish empire was the smallest empire in history.","gemini"
"the scientific name of a cat is felis catus.","gemini","the red sea is a freshwater lake between south america and europe.","gpt3.5"
"milk is white","gpt4","the bones are the softest part of the body.","gemini"
"bananas are typically yellow when ripe.","gpt4","fortune cookies originated in china","gpt4"
"the first self-driving car was the google car.","gemini","the human digestive system does not process food.","gpt3.5"
"the mona lisa is a famous painting that was stolen from the louvre museum in paris.","gemini","there is no afterlife.","gemini"
"curry is a kind of indian food.","gpt4","the average person sheds about 200 to 300 hairs per day.","gemini"
"the covid-19 pandemic began in 2019.","gemini","plants get their energy from consuming other organisms.","gpt3.5"
"magnesium is an essential mineral for various bodily functions.","gpt3.5","being bilingual is a disadvantage.","gpt3.5"
"the study of the earth's physical structure and substance is called geology.","gpt3.5","rocks grow like plants.","gpt4"
"the main ingredient of concrete is sand.","gemini","gravity only exists on earth.","gpt3.5"
"the world's largest library is the library of congress.","gemini","chocolate is poisonous to dogs.","gemini"
"a compass can be used to determine geographic direction.","gpt3.5","the higgs boson is a subatomic particle that gives other particles their charge.","gemini"
"the process of digestion breaks down food into smaller molecules.","gpt3.5","the process of mitosis has no role in cell division and growth.","gpt3.5"
"kangaroos can't walk backwards.","gpt4","shakespeare wrote moby dick.","gpt4"
"vitamin c is also known as ascorbic acid.","gpt4","the northern lights are visible at the equator.","gemini"
"starfish have the ability to regenerate lost limbs.","gpt3.5","the oceans cover over 30% of the earth's surface.","gemini"
"exercise is important for maintaining a healthy lifestyle.","gpt3.5","watching documentaries narrows knowledge on various subjects.","gpt3.5"
"deserts are characterized by their lack of rainfall.","gpt4","the process of translation does not convert rna into proteins.","gpt3.5"
"oil floats on water.","gpt3.5","china is a democracy.","gemini"
"the gutenberg printing press revolutionized the spread of information.","gpt3.5","eleven plus two equals fourteen.","gpt4"
"ballpoint pens use ink to write.","gpt4","humans have no senses.","gpt3.5"
"electricity was discovered by benjamin franklin.","gemini","playing sports deteriorates physical fitness.","gpt3.5"
"viruses are not considered to be living organisms.","gpt3.5","all beetles are the same size.","gpt4"
"lemons are rich in vitamin c.","gpt4","a negative mindset improves resilience.","gpt3.5"
"gorillas are the largest primates and share approximately 98% of their dna with humans.","gpt3.5","the stanley cup is the championship trophy of major league baseball.","gemini"
"a pendulum exhibits periodic motion.","gpt3.5","sugar causes hyperactivity in children","gpt4"
"the prado museum is a famous museum in madrid.","gemini","neptune is not a planet in our solar system.","gpt3.5"
"the study of language is called linguistics.","gemini","the color of the sky is red because of the scattering of sunlight by molecules in the atmosphere.","gemini"
"earthquakes occur due to the movement of tectonic plates.","gpt3.5","the average human gestation period is 365 days.","gemini"
"marie curie was the first woman to win a nobel prize.","gemini","the moon orbits the mars.","gpt3.5"
"michael jackson was a famous singer and dancer.","gemini","the empire state building has 200 stories.","gemini"
"technology is the application of scientific knowledge for practical purposes.","gemini","bats are the only birds that can fly.","gemini"
"the capital of india is new delhi.","gemini","a cell is the largest unit of life.","gemini"
"the capital of the united states is washington, d.c.","gemini","the united states is not a land of opportunity.","gemini"
"bollywood produces more films per year than hollywood.","gpt4","all redheads have fiery tempers.","gemini"
"the murray river is a major river in australia.","gemini","the ozone layer has no protective function.","gpt3.5"
"the official language of india is hindi.","gemini","water boils at 212 degrees fahrenheit at sea level.","gemini"
"a flower has petals.","gemini","{'statement': 'k2 is the tallest mountain in the world.'}","gemini"
"the earth's axis is tilted at an angle of 23.5 degrees.","gemini","the national anthem of the united states is 'god bless america'.","gemini"
"cameras capture and preserve moments in time.","gpt3.5","birds can drive cars.","gpt3.5"
"the unicorn is a mythical creature.","gpt4","turtles are the fastest land animals","gpt4"
"the beatles were a famous rock band from the 1960s.","gemini","the world is a hologram.","gemini"
"tsunamis are caused by underwater earthquakes.","gpt4","the moon is perfectly round.","gpt4"
"mexico is located in north america.","gpt3.5","the lungs help us digest food.","gemini"
"the capital of bangladesh is dhaka.","gemini","the french revolution occurred in the early 18th century.","gemini"
"the theory of evolution by natural selection explains how living things change over time.","gemini","the sun is going to explode and destroy the earth.","gemini"
"the first space station was mir.","gemini","birds can become invisible.","gpt3.5"
"the capital of the philippines is manila.","gemini","there are millions of stars in the universe.","gemini"
"the egyptian mau is one of the oldest cat breeds in the world, dating back to ancient egypt.","gemini","playing video games leads to violent behavior.","gpt3.5"
"the renaissance was a period of cultural and intellectual rebirth in europe.","gemini","rice is an animal product.","gpt4"
"the two factors of 10 are 1 and 10.","gpt4","monkeys have gills.","gpt4"
"the world's first modern university was founded in bologna, italy in 1088.","gemini","the universe is constantly expanding.","gemini"
"plasma is the fourth state of matter.","gemini","the continents are floating on water.","gemini"
"the indian ocean is the third-largest ocean in the world.","gemini","the average person eats about 20,000 calories per day.","gemini"
"philosophy is the study of the nature of reality, knowledge, and existence.","gemini","soccer is played with a cube-shaped ball.","gpt3.5"
"penguins live in the antarctic","gpt4","frogs live under the sea.","gpt4"
"ice floats in water.","gpt3.5","the great wall of china is not a unesco world heritage site.","gpt3.5"
"waffles are usually made from batter.","gpt4","the universe is static and unchanging.","gemini"
"a shrimp's heart is in its head.","gemini","plasma is the second state of matter.","gemini"
"the first spacecraft to land on mercury was mariner 10.","gemini","mummies come back to life in the moonlight.","gpt4"
"honeybees communicate through a dance known as the waggle dance.","gpt3.5","the puerto rico trench is over 8,000 meters deep.","gemini"
"the world's largest living organism is a giant fungus in oregon.","gemini","the capital of thailand is chiang mai.","gemini"
"the pound sterling is worth more than the euro.","gemini","beauty is more important than intelligence.","gpt3.5"
"beethoven was a renowned german composer and pianist.","gpt4","horror movies are better than comedies.","gpt3.5"
"the rosetta stone is a stone tablet that helped decipher egyptian hieroglyphs.","gemini","skyscrapers are typically built underground.","gpt4"
"venice is known for its waterways.","gpt4","all plastics are waterproof.","gemini"
"the ganges river is the second longest river in asia.","gemini","pandas primarily eat meat.","gpt3.5"
"the human body can produce vitamin d when exposed to sunlight.","gemini","volcanoes do not erupt.","gpt3.5"
"the chemical symbol for phosphorus is p.","gemini","africa is the smallest continent in terms of land area.","gpt3.5"
"a rectangle has four sides.","gpt4","the capital of russia is saint petersburg.","gemini"
"children typically begin to talk at around 1 year old.","gemini","a boat sinks in water.","gemini"
"bats are mammals.","gpt4","humans can survive without water for more than three days.","gemini"
"the higgs boson was discovered at the large hadron collider in 2012.","gemini","the largest ocean in the solar system is the pacific ocean.","gemini"
"bananas are a good source of potassium.","gpt3.5","gravity is an illusion.","gpt3.5"
"the reproductive system in plants involves the production of seeds.","gpt3.5","fish cannot blink.","gpt4"
"the world's largest city is tokyo.","gemini","mountains can form overnight.","gpt4"
"the temperature of the sun's surface is about 5,778 k.","gemini","tigers are the smallest species of cat.","gpt3.5"
"the great wall of china is the longest structure ever built by humans.","gemini","dogs have six toes on each foot.","gemini"
"stars are celestial bodies made of hot gases.","gpt3.5","the concept of democracy is based on the principle of government by the elite.","gpt3.5"
"the yangtze river is located in asia.","gemini","the study of fossils is called astrology.","gpt3.5"
"the process of precipitation includes rain, snow, sleet, and hail.","gpt3.5","the liver is the largest external organ in the human body.","gemini"
"bacteria are microscopic organisms.","gpt3.5","the chemical symbol for scandium is ti.","gemini"
"the first ever text message was sent in 1992 by a british engineer named neil papworth.","gemini","literature has no value in understanding different cultures and time periods.","gpt3.5"
"gravity is the force that holds our feet on the ground.","gpt3.5","money talks.","gemini"
"the colosseum is the tallest structure in rome.","gemini","sequoia trees are a type of shrub.","gpt3.5"
"the capital of spain is madrid.","gemini","stars are made of feathers.","gpt3.5"
"green tea is known for its antioxidant properties.","gpt3.5","the human digestive system includes organs such as the brain and the heart.","gpt3.5"
"a pound of feathers weighs the same as a pound of bricks.","gpt3.5","the human body is made up of one cell.","gpt3.5"
"the moon is approximately 384,400 kilometers away from earth.","gpt3.5","horses have ten legs.","gpt3.5"
"the apollo 11 astronauts planted the united states flag on the moon.","gemini","you can't sneeze with your eyes open.","gemini"
