"question","truth","falsehood","split"
"What weather phenomenon, which may bring clouds and precipitation, is created by stalled air masses?","stationary front","susceptible front","train"
"What keeps glaciers from forming in water?","warmth","movement","train"
"The human skeleton is an endoskeleton that consists of 206 bones in the adult. it has five main functions: providing support to the body, storing minerals and lipids, producing blood cells, protecting internal organs, and  this?","allowing movement","Forward movement","train"
"What's the name for the process where pollen is transferred to the ovules of a seed plant?","pollination","combination","train"
"At what time of the year can tornadoes occur?","any","winter","train"
"How is sediment transported?","currents","storms","train"
"Where are all hormones secreted into before entering the circulatory system?","interstitial fluid","Amniotic fluid","train"
"Vertebrates have tissues which are organized into organs which in turn are organized into  what?","organ systems","artificial systems","train"
"What can renewable resources can be replaced by?","natural processes","change processes","train"
"When warm air rises up to the tropopause, where does it flow?","north or south","east or north","train"
"What kind of messages do neurons send?","electrical messages","minor messages","train"
"What forces in liquids are strong enough to keep them from expanding significantly when heated?","intermolecular forces","particles forces","train"
"Which chromosome is associated with cri du chat syndrome?","chromosome 5","collagen 5","train"
"The strong affinity of concentrated sulfuric acid for water makes it a good agent of what?","dehydrating","diluting","train"
"Where in the female body does egg production take place?","ovaries","testes","train"
"What is the amorphous form of carbon prepared by the incomplete combustion of natural gas?","carbon black","liquid black","train"
"What do gametes undergo to produce many additional copies of themselves?","mitosis","prophase","train"
"The greenhouse effect on earth is caused by an increase in what in the atmosphere?","carbon","phosphorous","train"
"What is the term for the quantity of heat required to raise the temperature of 1 gram of a substance by 1 degree celsius?","specific heat capacity","thermal heat capacity","train"
"In animals, how many sets of chromosomes do gametes have?","one","2","train"
"What scale measures acidity?","ph scale","frequency scale","train"
"What is sulfur trioxide dissolved in to form sulfuric acid?","water","silver","train"
"What shape are the eight sides of an octahedra?","triangles","rectangles","train"
"The shield type of what phenomenon commonly forms above hotspots in the oceans?","volcano","tsunami","train"
"Nuclear power plants produce electricity through what?","induced fission","High Fission","train"
"What are the simplest hydrocarbons?","saturated hydrocarbons","unsaturated hydrocarbons","train"
"These resources can be remade quickly, through natural processes","renewable","fossil fuel","train"
"Inorganic chemical compounds can be broadly classified into two groups: ionic compounds and which other group?","molecular compounds","cellular compounds","train"
"Fish are a diverse and interesting group of organisms in what sub-phylum?","vertebrates","mammals","train"
"Spinal cord injuries are notoriously difficult to treat because spinal nerves do not do what?","regenerate","cover","train"
"The ratio of displacement to time interval is the average what?","velocity","acceleration","train"
"What is the modern periodic table based on?","atomic number","element mass","train"
"The needle of a compass is made of what element?","iron","tin","train"
"What is the process in which the genetic code in mrna is read to make a protein called?","translation","splicing","train"
"What type of protein speeds up chemical reactions in cells?","enzyme","hemoglobin","train"
"In what part of the lungs is pulmonary gas exchanged?","alveoli","bronchioles","train"
"What phenomenon occurs when strong winds blow surface water away from shore, allowing deeper water to flow to the surface and take its place?","upwelling","percolating","train"
"When does the nucleus divide?","mitosis","meiosis","train"
"Olfactory, optic, and vestibulocochlear nerves are related to what type of function?","sensory","pulmonary","train"
"What happens when alkanes are mixed with oxygen at room temperature?","no reaction","single replacement","train"
"At the bottom of lakes and ponds, bacteria in what zone break down dead organisms that sink there?","aphotic zone","photic","train"
"What is the name for a heterotroph that eats only or mainly animal foods?","carnivore","macrophage","train"
"What is the name of an extreme form of radiation fog?","tule fog","smelt fog","train"
"In what form is most of the earth's freshwater?","frozen","gas","train"
"What cells do lymphocytes originate from in the bone marrow?","stem cells","brain cells","train"
"What is the common name for a simple harmonic oscillator, which basically consists of a small object suspended on a wire or string?","pendulum","yo-yo","train"
"What kind of process occurs without the need for a continual input of energy from some external source?","spontaneous process","Decay Process","train"
"What are fungus-like protists?","molds","feces","train"
"Electrons exist only where the wave is what?","stable","seen","train"
"Mendelian inheritance has its physical basis in the behavior of what?","chromosomes","ribosomes","train"
"The parasympathetic system can also be referred to as the what?","craniosacral system","badolato system","train"
"Negative feedback controls insulin secretion by what organ?","pancreas","thyroid","train"
"In the past, what colliding with planet earth has caused many organisms to die off?","asteroids","acid rain","train"
"Aquatic producers need nutrients and what dissolved gas, which is more abundant near the surface of water?","oxygen","helium","train"
"All elements are most stable when their outermost shell is filled with electrons according to which rule?","octet rule","quartet rule","train"
"What do you need to do to water to make it steam?","heat it","freeze it","train"
"When scientists work in natural settings rather than a lab, it is called what?","fieldwork","outside work","train"
"What is released into the atmosphere when fossil fuels are burned?","carbon dioxide","hydrogen dioxide","train"
"The leaf chameleon (brookesia micra) was discovered in northern madagascar in 2012. at just over one inch long, it is what?","smallest known chameleon","first known chameleon","train"
"Water and many metals are materials that have low resistance to electric currents and are therefore known as what?","electric conductors","radioactive","train"
"What is the name of the science that is concerned with naming and grouping organisms?","taxonomy","geology","train"
"What substance can be identified by their atomic number and mass number?","elements","structures","train"
"What do you call the first cell of a new organism?","zygote","embryo","train"
"What planet in our solar system has a moon with volcanic activity?","jupiter","Mars","train"
"Kangaroos, koalas, and opossums are examples of what type of mammals?","marsupials","carnivorous","train"
"Fe for iron and pb for lead are examples of elements known since ancient times, which have symbols based on their name in what language?","latin","arabic","train"
"Referring to low what, hypovolemia may be caused by bleeding, dehydration, vomiting, severe burns, or some medications used to treat hypertension?","blood volume","heart volume","train"
"What particles allow fungi to reproduce through unfavorable conditions?","spores","bosons","train"
"What is the term for an underground layer of rock that is saturated with groundwater?","aquifer","delta","train"
"Where do most ecosystems get energy from?","sunlight","precipitation","train"
"Maintaining a high metabolic rate takes a lot of what?","energy","food","train"
"Electrons can move from one atom to another; when they do, specimens called what, with overall electric charges, are formed?","ions","atoms","train"
"Energy is absorbed as reactants are converted to products in what kind of chemical reaction?","endothermic","anaphoric","train"
"What is the permanent prevention of gamete production or release called?","sterilization","restoration","train"
"Because pathogenic bacteria typically cause disease by releasing exotoxins or endotoxins, they have potential use as what type of weapon?","bioterrorism","radioactive","train"
"What cycle vital to plants includes a process called denitrification?","nitrogen cycle","carbon cycle","train"
"What are particles that feel the strong nuclear force called?","hadrons","bosons","train"
"The most common elements have the most tightly bound __________.","nuclei","quarks","train"
"Besides the inner membrane, where are many respiratory enzymes found?","the matrix","alveoli","train"
"Which of newton's law shows that there is a direct relationship between force and acceleration?","second","third","train"
"The number, size, shape, and banding pattern of chromosomes make them easily identifiable in a what?","karyogram","xerophyte","train"
"What are the egg shaped organs on either side of the uterus?","ovaries","lungs","train"
"A voltaic cell uses what type of reaction to generate an electric current","spontaneous redox","spontaneous catalyst","train"
"Binary compounds of carbon with less electronegative elements are called what?","carbides","alkaloids","train"
"What makes viral stis more dangerous than other types?","they are incurable","they are more contagious","train"
"What flows like taffy or hot wax?","molten rock","gas","train"
"What unit of measurement determines how far something travels in a given amount of time?","speed","distance","train"
"What happens do the sound during a resonance?","amplified, it becomes louder","it becomes quieter","train"
"With a diet of live animals such as birds, small mammals and fish, all crocodilians are considered what?","carnivores","omnivores","train"
"Which types of compounds are more likely to burn easily?","covalent","hydroxyl","train"
"Which proteins recognize and combine with harmful materials, including both toxic chemicals and invasive microorganisms?","antibodies","enzymes","train"
"Because conditions are not ideal, most populations grow ____________.","logistically","historically","train"
"What type of behavioral rhythms are linked to the yearly cycle of seasons?","circannual","annual","train"
"What type of scientist uses earth-orbiting telescopes?","astronomer","astrologer","train"
"Sponges possess an internal skeleton called what?","endoskeleton","hydrostatic skeleton","train"
"A fundamental particle of matter, protons and neutrons are made of these?","quarks","particles","train"
"What is the name of the smaller molecules that make up proteins?","amino acids","fundamental acids","train"
"What is the term for a state of matter that yields to sideways or shearing forces?","fluid","gravity","train"
"Many structures in fish are adaptations for what type of lifestyle?","aquatic","carnivorous","train"
"What takes place at some coastlines or along the equator and brings cool, nutrient-rich water to the surface?","upwelling","high tide","train"
"The major classes of living members of this phylum include gastropods, bivalves, and cephalopods?","mollusks","insects","train"
"What is the thin coat of phospholipids that surrounds the cell and controls what enters and leaves?","cell membrane","blood","train"
"What kind of ions are named by adding the suffix -ide to the end?","negative ions","similar ions","train"
"What do aggregate fruits like raspberries form from?","carpels fused together","germinoles fused together","train"
"The two main agents of soil erosion are water and what else?","wind","humidity","train"
"The surfaces of the bones at the joints are covered with a smooth layer of cartilage, which reduces what force between the bones when they move?","friction","vibration","train"
"What is the initial stage of  scienetific investigations?","observation","asking questions","train"
"The radiation exposure is determined by the number of what times the quality factor of the radiation?","rads","pounds","train"
"What is the smallest class of elements?","metalloids","halogens","train"
"What is friction that acts on objects that are moving through a fluid?","fluid friction","fluid catalyst","train"
"The sun’s gravity is relatively strong because the force of gravity between two objects is directly proportional to their what?","masses","tissues","train"
"What do aquatic arthropods use to exchange gases with the water?","gills","nostrils","train"
"How many groups of leaves does poison ivy typically have?","three","four","train"
"This knocks electrons from atoms and turns them into ions?","radiation","convection","train"
"What do you call an incomplete outer shell of an atom?","valence shell","helium shell","train"
"What are the specialized cells of sponges called?","collar cells","plant cells","train"
"What organ system is comprised of your heart, blood, and blood vessels all working together?","cardiovascular system","thoraxic system","train"
"What type of cells capture light energy, and use carbon dioxide as their carbon source?","photoautotrophs","sporozoans","train"
"When drinking water is treated, what is the term for when chemicals cause solids in the water to clump together?","coagulation","clumping","train"
"What does the urea cycle process?","nitrogen","calcium","train"
"When using a microscope we do not see the entire extent of the sample. depending on the eyepiece and objective lens we see a restricted region which we say is this?","field of view","tunnel vision","train"
"Sickle cell diseas is caused by what?","receccisve allele","anterior allele","train"
"What are the most successful organisms on earth?","bacteria","trees","train"
"The temperature of an object is a measure of what type of energy?","thermal","chemical","train"
"The chromosomal theory of inheritance proposed that what reside on chromosomes?","genes","atoms","train"
"What process occurs around day 14 of a 28-day menstrual cycle, triggered by the lh surge?","ovulation","sedimentation","train"
"What term refers to a change in species over time?","evolution","spontaneous change","train"
"The nitrogen cycle moves nitrogen back and forth between the atmosphere and what?","organisms","Ocean","train"
"Eutrophication, or high levels of nutrients, can cause conditions that deprive fish of what vital gas?","oxygen","dioxide","train"
"Osseous tissue is the tissue that makes up what?","bone","muscle","train"
"Why did people stop adding lead to gasoline?","environmental pollution","bad smell","train"
"What is the term for plants that produce flowers and fruit?","angiosperms","endosperms","train"
"What is the name for medical doctors that specialize in the diagnosis and treatment of diseases of the heart?","cardiologists","physicists","train"
"When the body goes into survival mode, it's first priority is to produce enough of which substance for the brain?","glucose","blood","train"
"What do we consider the basic building blocks of life?","cells","atoms","train"
"Which law describes the angle at which the reflected rays leave the surface is equal to the angle at which the incident rays strike the surface?","reflection","gravity","train"
"What major pigment in the photosynthetic system is based on a complex molecule and gives plants their green color?","chlorophyll","chloroplasm","train"
"If heat is released by the system into the surroundings, a chemical reaction or physical change is called what?","exothermic","static","train"
"A hydrostatic skeleton is a skeleton formed by a fluid-filled compartment within the body, called what?","coelom","clamon","train"
"Sharks are an example of an animal with sharp vision that is nonetheless unable to distinguish what?","color","depth","train"
"What bonds cause water to have a high boiling point, leaving most water on earth in a liquid state rather than in a gaseous state?","hydrogen bonds","potassium bonds","train"
"Each root is made of dermal, ground, and what type of tissue?","vascular","thermal","train"
"What is the measure of the change in velocity of a moving object called?","acceleration","inclination","train"
"Any place at which two bones are joined is called a what?","articulation","modification","train"
"What are the four well-known states of matter?","solid, liquid, gas, and plasma","solid, liquid, gas, and wave","train"
"In mammals, hair or fur help conserve bodily what?","heat","food","train"
"Echinoderms are marine organisms that make up which phylum?","echinodermata","annelida","train"
"What kind of membrane do prokaryotic cells have?","plasma membrane","cell wall","train"
"What is the name of the cell that results when a sperm nucleus fuses with a egg nucleus?","a zygote","t cell","train"
"What makes a complete orbit around the earth once every 29 1/2 days?","the moon","Mars","train"
"What general property of an earthquake is used to describe its relative strength?","magnitude","resonance","train"
"What is a three dimensional snycline?","a basin","a crust","train"
"Rather than being dead, dry, and brittle, what support structures of the human body consist of living tissues and are supplied with blood and nerves?","bones","lungs","train"
"The entire range of light that can be seen by the human eye without aid is known as what kind of light?","visible light","white light","train"
"An endocrine disease usually involves the secretion of too much or not enough hormone by which gland?","endocrine","Pituitary","train"
"What ancestors did caecillians evolve from?","tetrapod","ornithopod","train"
"The infection-fighting complement system consists of roughly 30 proteins in?","blood plasma","stomach acid","train"
"Which part of the plant is responsible for seed production?","flower","root","train"
"In how many ways ca a living organism obtain chemical energy","two","three","train"
"Animals that have been modified to express recombinant dna are called what?","transgenic animals","reproducing animals","train"
"In a medium, the closer the distribution of the material gets to what state, the slower the rate of diffusion becomes?","equilibrium","erosion","train"
"When substances pass through the cell membrane without needing any energy what is it called?","passive transport","active transport","train"
"Elements that do not need to conduct electricity are known as what?","nonmetals","alloys","train"
"What does the moon not have to protect it from extreme temperatures?","atmosphere","oceans","train"
"What happens between particles with opposite charges?","they attract","they become static","train"
"Which generation of a plant is generally larger and longer-lived?","dominant generation","main generation","train"
"Mammals belong to which class of vertebrates?","endothermic","agnathas","train"
"Animals that have feeding patterns that are somewhere between that of herbivores and carnivores can be called what?","omnivores","insectivores","train"
"What organs produce eggs?","ovaries","glands","train"
"What kind of reaction adds water to an organic molecule and breaks the large molecule into smaller molecules?","hydration reaction","heat reaction","train"
"How much larger can the most powerful light microscropes make an image?","2000 times","500 times","train"
"In mammals, air is warmed and humidified in what?","nasal cavity","lungs","train"
"What is the specialized tissue that transports water and nutrients throughout the plant and allows these plants to grow taller?","vascular tissue","blood vessels","train"
"What is the term for the method of sending out ultrasound waves to determine the locations of objects?","echolocation","catabolism","train"
"In autosomal dominant inheritance only one ""affected"" what is necessary to result in an ""affected"" phenotype?","allele","molecule","train"
"When the nucleus divides, the two chromatids that make up each chromosome separate from each other and move to opposite poles of the cell during this process?","mitosis","spawning","train"
"What is the layer above the troposphere?","stratosphere","thermosphere","train"
"Which system consists of organs that break down food and absorb nutrients such as glucose?","digestive system","circulatory system","train"
"What part of the eye controls the size of the pupil?","iris","debis","train"
"Depending on a tumor’s location, for example, cancer surgeons may be unable to remove it. radiation and chemotherapy are difficult, and it is often impossible to target only the cancer cells. the treatments inevitably destroy this?","healthy cells","carcinogens","train"
"Sodium is an example of what sort of thing that cannot exist by itself in nature?","element","concept","train"
"What type of resource is water power?","renewable","biological","train"
"Squamata is the largest order of what broad animal group, and includes lizards and snakes?","reptiles","amphibians","train"
"Angiosperm success is a result of two novel structures that ensure reproductive success: flowers and this?","fruit","food","train"
"What substance causes oxidation by accepting electrons?","oxidizing agent","solvents","train"
"What occurs when air masses meet?","fronts","earthquakes","train"
"What stage in human males lasts from about ages 12 to 18 years and is controlled by hormones?","puberty","childhood","train"
"Elasticity is the ability of a material to return to its original shape after being stretched or?","compressed","combustion","train"
"Many parasites have complex life cycles involving multiple ?","hosts","features","train"
"What type of light is composed of many rays having random polarization directions?","unpolarized light","reflected light","train"
"How do yeasts reproduce?","asexually","homosexual","train"
"In science, what can be described as a set of steps that help us to answer questions?","scientific method","theory","train"
"What does the body derive from the breakdown of the carbohydrate-containing foods and drinks we consume?","glucose","insulin","train"
"A mitotic spindle forms from the centrioles and passes through the nuclear membrane, which remains intact. chromosomes attach to the mitotic spindle, which separates the chromosomes and does what?","elongates the cell","manipulates the cell","train"
"Substances produced by a reaction are known as?","products","solutions","train"
"What happens to the core of a star when it begins to run low on hydrogen?","it contracts","it expands","train"
"What's the name for a cluster of genes, where one promoter serves adjacent genes?","opteron","nucleus","train"
"Desert plants have special stems and leaves to conserve what?","water","food","train"
"The diversity of alleles and genotypes within a population is known as genetic what?","variance","group","train"
"What does temperature measure?","average kinetic energy of molecules","lowest kinetic energy of molecules","train"
"What is the term for when the water of the ocean slowly rises and falls?","tides","currents","train"
"Female monotremes lack a uterus and vagina. instead they have what?","cloaca","endometrium","train"
"Pigments are substances that absorb what?","visible light","synthetic light","train"
"What class of oxygencontaining compounds is formed by the dehydration of alcohols?","ethers","reagents","train"
"Group 16 is called the oxygen group. what is the only metalloid in this group?","tellurium","cadmium","train"
"In his work with pea plants, mendel performed what, which involves mating two true-breeding individuals that have different traits?","hybridization","cross-breeding","train"
"What type of minerals form when salt water evaporates?","halide","sulfide","train"
"What are identified by the azimuthal quantum number?","sub-energy levels","ionic-energy level","train"
"What is a large space that helps the organism digest & move nutrients around the cnidarian body?","gastrovascular cavity","thorax","train"
"The process when heat is released is referred to as what?","exothermic","geothermal","train"
"The entropy change is positive as the solid state changes into which state?","liquid","mixture","train"
"The scientific practice of classifying organisms is also known as what?","taxonomy","taxodermy","train"
"The force applied to an object is called?","stress","gravity","train"
"What is the largest mineral group, comprising over 90% of earth's crust?","silicates","oxides","train"
"Sound navigation and ranging is an acronym for what, which is used to locate underwater objects such as submarines?","sonar","sound transmission","train"
"What is the term for the difference in elevation between two contour lines?","contour interval","height","train"
"The same reaction regenerates pyruvate, which is transported to which cells?","mesophyll","outermost","train"
"What large carboxylic acid with three ionizable hydrogen atoms gives some fruits a sour or tart flavor?","citric acid","ammonia acid","train"
"How does sap get to the tops of tall trees?","through negative pressure","through suction power","train"
"Each megasporangium has a single functional one of what?","megaspore","antispore","train"
"Somatosensation refers to what of the five senses?","touch","balance","train"
"Respiratory distress syndrome results from insufficient production of what?","pulmonary surfactant","carbon dioxide","train"
"Redox reactions can always be recognized by a change in what number of two of the atoms in the reaction?","oxidation","fermentation","train"
"In humans, the anus is attached to what kind of intestine?","large","huge","train"
"What does interspecific competition between species often lead to?","extinction","evolution","train"
"Radioactive decay can give off energy and what else?","particles","light","train"
"What is the condition in which distant objects are seen clearly, but nearby objects appear blurry?","farsightedness, or hyperopia","synthesise , or hyperopia","train"
"What novelties can also arise when structures that originally played one role gradually acquire a different one?","evolutionary","mutation","train"
"What is a gap in rock layers called?","an unconformity","a crevice","train"
"Bacteria are often used to make cheese from what?","milk","meat","train"
"Why are atoms of metals good conductors of electricity?","give up electrons","break into smaller parts","train"
"What is the basic unit of an organism called?","cell","electron","train"
"All the blood in the human body is filtered about 60 times a day by what?","kidneys","lungs","train"
"What happens to the energy levels of electrons as they are closer to the nucleus?","they are lower","they are higher","train"
"What is the term for the blockage of an artery by the buildup of fatty plaques?","atherosclerosis","fibrosis","train"
"What is the type of cell division that produces gametes?","meiosis","electrolysis","train"
"What do organisms use to store energy?","lipids","tissues","train"
"What is the name for the water-splitting step of photosynthesis?","photolysis","hydrolysis","train"
"What type of behaviors are triggered by pheromones in moths?","courtship","exhibit","train"
"Prokaryotes and the nitrogen cycle nitrogen is a very important element for life because it is part of proteins and this?","nucleic acids","nuclear forces","train"
"What property is a measure of the average kinetic energy of molecules?","temperature","mass","train"
"A measure of the disorder of a system is called its what?","entropy","lose","train"
"What influence does the  horizontal motion of a projectile have on free fall?","none","decrease acceleration","train"
"Larger animals expend more of what to achieve locomotion?","energy","neurons","train"
"Subshells are subdivisions of what groupings of electrons that can be found surrounding atoms?","orbitals","globals","train"
"The number of moles of solute in 1 kg of solvent is defined as what?","molarity","singularity","train"
"What is the name for the pores in leaves that allow a plant to retain water or exchange gases?","stomata","neurons","train"
"What is part of a cycle that holds an element or water for a long period of time called?","a reservoir","homeostasis","train"
"What theory states that all organisms are made up of one or more cells?","the cell theory","the molecular anatomy theory","train"
"What does rearrangements of chromosomes contribute to the emergence of?","new species","clones","train"
"In the universe as a whole, what is the most common element?","hydrogen","helium","train"
"What are substances that cannot be broken down into simpler substances with different properties called?","elements","atoms","train"
"What gas, that is dissolved in solution, is used in carbonated beverages?","carbon dioxide","phosphorus dioxide","train"
"Fluoride ion is widely used in water supplies to help prevent what?","tooth decay","rust","train"
"Amino acids are joined together to form a chain at what molecular structure?","ribosomes","chloroplasts","train"
"What is the name of the science that studies matter and the changes material substances undergo?","chemistry","geology","train"
"Which process changes rocks by heat and pressure?","metamorphism","sediments","train"
"What is defined as an antigen that causes an allergy?","an allergen","an expectorant","train"
"What can be linked together to form disaccharides or polysaccharides?","monosaccharides","amino acids","train"
"What were the first living things to evolve on earth?","prokaryotes","eukaryotes","train"
"All members of a species living together form a what?","population","family","train"
"What type of disturbance do even dominant plants depend on in many biomes?","periodic","mass extinction","train"
"In what type of reproduction do parents of different sexes mate to produce offspring?","sexual reproduction","subject reproduction","train"
"Insulin and glucagon help keep blood glucose levels in the normal range because of what type of effects?","antagonistic","sympathetic","train"
"What phenomenon has severe consequences on both natural and man-made objects, including killing trees and degrading marble statues?","acid rain","carbon rain","train"
"What alloy is made from copper and zinc?","brass","iron","train"
"Steam consists of what common and essential element in its gaseous phase?","water","carbon dioxide","train"
"The capsid is made from the what that are encoded by viral genes within their genome?","proteins","lipids","train"
"Methane, ethane, and propane are three of the smallest what?","alkanes","organisms","train"
"The number of neutrons and electrons may vary or change in an atom. what happens to the number of protons?","remains the same","decreases","train"
"In biological augmentation, ecologists use what to add essential materials to ecosystems?","organisms","sediments","train"
"What kind of interference is observed when the paths differ by a whole wavelength, and the waves arrive in phase?","constructive interference","necessary interference","train"
"What are mudskipper fish able to do in short distances?","walk","tumble","train"
"What is the major cause of disease in agricultural crops?","fungi","bacteria","train"
"What type of reproduction occurs in almost all fungi?","sexual","fragmentation","train"
"What protists absorb food molecules across their cell membranes?","absorptive","dielectric","train"
"How do dogs lose body heat?","panting","barking","train"
"The electron transport chains are located on the inner membrane of which organelle?","mitochondrion","chloroplast","train"
"What happens to growth of plants and bacteria in warmer regions?","they grow faster","they mutate","train"
"Electromagnetic waves are generally caused by magnetic fields doing what (or moving in what way)?","vibrating","revolving","train"
"Exposure to what can increase the amount of pigment in the skin and make it appear darker?","ultraviolet radiation","gamma rays","train"
"Most of the trash in the ocean is made of what material?","plastic","styrofoam","train"
"What is the name of the glands that produce milk in female mammals ?","mammary glands","recombinant glands","train"
"The conductive cells within the heart establish the heart rate and transmit it through the what?","myocardium","meiosis","train"
"What is the opening in the front of the eye?","the pupil","the macula","train"
"Binary transition-metal compounds, such as the oxides and sulfides, are usually written with idealized what?","stoichiometries","speciation","train"
"What disease refers to the dangerous buildup of fatty materials in blood vessels?","atherosclerosis","gout","train"
"Which nerve directly stimulates the contraction of skeletal muscles in the pharynx and larynx to contribute to the swallowing and speech functions?","vagus nerve","glands nerve","train"
"What do we call coiled structures made of dna and proteins?","chromosomes","nodes","train"
"What is the process in which gases are exchanged between the body and the outside air?","respiration","ingestion","train"
"Acids are the opposites of what?","bases","water","train"
"The number of electrons in the outer energy level determines what property of nonmetals?","reactivity","density","train"
"Muscles and skin are examples of what, consisting of specialized cells?","tissues","layers","train"
"The accumulation of what cells begin the development of the vertebral column and thoracic cage?","mesenchyme cells","semiosis cells","train"
"What are terrestrial biomes determined by?","temperature and moisture","moisture and elevation","train"
"What protects reptiles from injury and loss of water?","scales","hairs","train"
"What are the different feeding positions in a food chain or web called?","trophic levels","neural levels","train"
"What is the joint where the pelvic girdle and leg come together?","hip joint","hip socket","train"
"Snails, scallops, and squids are examples of invertebrates called what?","mollusks","orthopods","train"
"Synthesis, decomposition, replacement, and combustion are all types of what reaction?","chemical","natural","train"
"What are the devices placed in electric circuits where charge can build up, which store energy when charged and release it when they discharge?","capacitors","resistors","train"
"What is the hinged structure attached to the cranium that allows an animal to grasp and tear its food?","jaw","tooth","train"
"The svedberg unit is a measure of the rate of what, which is tested in a centrifuge?","sedimentation","precipitation","train"
"When do cells acquire different identities in an ordered spatial arrangement?","during morphogenesis","during mitosis","train"
"The sun emits energy in the form of what?","electromagnetic radiation","mechanical radiation","train"
"What structures sweep laterally, hugging the pelvic walls, then turn medially and pierce the bladder wall obliquely?","ureters","tubules","train"
"What was the last supercontinent on earth?","pangaea","rodinia","train"
"When conditions deteriorate, hydras can reproduce sexually, forming resistant zygotes that remain dormant until when?","conditions improve","Hydras choose","train"
"Because collisions are ______, energy can be transferred between molecules during them.","elastic","conductive","train"
"What is the tendency of an object to remain at rest or remain in motion called?","inertia","impetus","train"
"The pituitary gland is called the “master gland” of what system?","endocrine","hormonal","train"
"What links together to form long polymeric chains?","nucleotides","genes","train"
"What type of electrons does carbon have?","valence","shell","train"
"What do doctors call farsightedness or the inability to see close objects clearly?","hyperopia","hypopia","train"
"What type of simple inheritance is too simplified to explain most human traits?","mendelian","mitosis","train"
"What is an ion that is in common to both salts in a solution?","common ion","regular ion","train"
"What is the only way to completely avoid stis?","avoid sexual contact","cover your mouth","train"
"Chemical and physical changes in a system may be accompanied by an increase or a decrease in the disorder of the system, corresponding to an increase or decrease in what?","entropy","enthalpy","train"
"What is the process bacteria use to break down chemicals into food?","chemosynthesis","biosynthesis","train"
"What controls every aspect of plant growth and development to some degree?","hormones","chlorophyll","train"
"Making a specific prediction based on a general principle is known as what type of reasoning?","deductive reasoning","common sense reasoning","train"
"Ripe fruits are usually red, orange, yellow, or what?","purple","white","train"
"What are the lines of force in the electric field around a charged particle called?","field lines","terrain lines","train"
"An electric transformer connects two circuits with an iron core that becomes what?","electromagnet","inductive","train"
"What structure connects the pharynx to the trachea?","larynx","thyroid","train"
"The resultant solution will contain the same amount of solute but a greater amount of what?","solvent","calcium","train"
"The thin scale-like or flat shape of what cells fits their primary function, to provide a smooth and protective surface?","simple epithelium","technique epithelium","train"
"During what phase of breathing does the pressure inside the lungs drops to below atmospheric pressure?","inhalation","conduction","train"
"What type of climates is malaria commonly found in?","tropical and subtropical","tropic and arctic","train"
"Plants that live in the desert are called?","xerophytes","xerozoans","train"
"Dolphins are what type of animal?","mammal","reptile","train"
"What is the energy of moving matter?","kinetic energy","potential energy","train"
"The two parts of photosynthesis photosynthesis takes place in two stages: the light-dependent reactions and which cycle?","calvin cycle","colors cycle","train"
"In an atom, what two major types of particles are located in the nucleus?","protons and neutrons","electrons and neutrons","train"
"What is the first part of the large intestine, where wastes enter from the small intestine?","cecum","tectum","train"
"Each pollen grain has two coverings: the exine (thicker, outer layer) and the what?","intine","tube nucleus","train"
"In stars like our sun, hydrogen atoms join together to create what?","helium atom","water molecule","train"
"How do bacteria reproduce?","binary fission","natural fission","train"
"What sort of gas is found in balloons and blimps, and is used to make them float in the sky?","helium","oxygen","train"
"What color is pyrite?","gold","blue","train"
"Planting a row of trees around a field or erecting a fence on a sand dune helps prevent what form of erosion?","wind","fire","train"
"What structure connects the fetus to the placenta, allowing the exchange of gases?","umbilical cord","sediment cord","train"
"What do you call any substance that opposes coagulation?","anticoagulant","dissolvent","train"
"What are the messenger molecules of the endocrine system?","hormones","neurons","train"
"Ions move through what to maintain electrical neutrality in the cell?","the membrane","the plasma","train"
"Blood leaves the left ventricle via the what?","aorta","dorsal chamber","train"
"What are the most numerous and diverse biochemical compounds?","proteins","lipids","train"
"Where are most plants firmly rooted?","soil","rock","train"
"What type of rain dissolves limestone and marble?","acid","carbon","train"
"What are materials that have a low resistance to electrical current called?","electrical conductors","electrons","train"
"What mammalian feature serves functions such as filtration and keeping the body warm?","hair","shivering","train"
"Higher pressures increase the solubility of what?","gases","molecules","train"
"What is an important level of organization in ecology and the unit of microevolution?","population","macro","train"
"When hot water gently rises to the surface, it creates a what?","hot spring","steam cloud","train"
"What is the final stage of aerobic respiration, when energy from the krebs cycle is transferred to atp?","electron transport","glycolysis","train"
"What state of matter has a definite volume, but not a definite shape?","liquid","gas","train"
"What type of animal can be found on every continent except antarctica?","reptiles","amphibians","train"
"The ovaries produce estradiol and progesterone, which cause secondary sex characteristics and prepare the body for?","childbirth","breathing","train"
"Though viruses are not considered living, they share two important traits with living organisms: they have genetic material and they can undergo what process?","evolution","generation","train"
"What is our sun's next stage called?","red giant","blue giant","train"
"What type of molecule is carbon dioxide (co2)?","linear","non-linear","train"
"Trimethylamine is one of the substances responsible for the what of spoiled fish?","smell","appearance","train"
"Making ultrasonic clicks is a clever way that some moths respond to attacks by what flying mammals?","bats","bees","train"
"What do plants respond to in their environment?","changes in sunlight or water","changes in sunlight or pressure","train"
"Bone marrow is found inside many bones and produces what?","lymphocytes","tumors","train"
"One species benefits while the host species is harmed in what type of relationship?","parasitism","amensalism","train"
"What is a compound in which all of the atoms are connected to one another by covalent bonds?","covalent network solid","covalent bond element","train"
